i1_freq,params_list,phase_avg,ijj_mag,vjj_mag,iin_mag,iloop_mag,iout_mag,vinput_mag,vin_mag,vbase_mag,vcancel_mag,vout_mag,voutput_mag,leff_input,energy_in,energy_out,energy_out_prev,ifreq_fft,iin_fft,iout_fft,iout_prev_fft,energy_in_fft,energy_out_fft,energy_out_prev_fft,vfreq_fft,vin_fft,vout_fft,pfreq_fft,pin_fft,pout_fft
30000000.0,0.0,0.0,0.0,0.0,1.071993871585327e-09,1.071993871585327e-09,6.949170782462854e-13,9.99984189062012e-11,9.99984189062012e-11,6.018222094344951e-11,2.1986026135669808e-10,3.474585391231427e-11,3.474585391231427e-11,2e-05,1.0719769223566999e-19,2.4145487281917697e-23,1.292817218306061e-28,29999999.999999996,3.3159832360462916e-05,1.6239559543008302e-08,3.3159832360462916e-05,1.6579261300198227e-10,1.3186164707545598e-14,1.237021292445754e-19,29999999.999999996,4.999802508038608e-06,8.119779771504149e-07,59999999.99999999,1.6578701183238335e-15,1.3187469306822187e-19
31000000.0,0.0,0.0,0.0,0.0,1.1998010907059929e-09,1.1998010907059929e-09,7.563348822678797e-13,9.999977512008455e-11,9.999977512008455e-11,6.550066511316981e-11,2.3077780668262298e-10,3.781674411339399e-11,3.781674411339399e-11,2e-05,1.1997983925943145e-19,2.860212270675838e-23,1.6194629894167015e-28,30999999.999999996,3.562348688539e-05,1.8027651942402338e-08,3.562348688539e-05,1.7810986529061353e-10,1.6249811727820135e-14,1.4276619201077473e-19,30999999.999999996,4.99978752399054e-06,9.013825971201167e-07,61999999.99999999,1.781032147184213e-15,1.62512592019096e-19
32000000.0,0.0,0.0,0.0,0.0,1.2935994625792941e-09,1.2935994625792941e-09,8.297874643599213e-13,9.999965388236081e-11,9.999965388236081e-11,7.186125788430598e-11,2.436140912059095e-10,4.148937321799607e-11,4.148937321799607e-11,2e-05,1.2935949852033736e-19,3.4427361800443383e-23,1.8825745157836186e-28,31999999.999999996,3.834250513929985e-05,2.0029605624858096e-08,3.834250513929985e-05,1.9170378199012527e-10,2.0059255074367347e-14,1.6539161629018898e-19,31999999.999999996,4.999771957874369e-06,1.0014802812429045e-06,63999999.99999999,1.9169588356010017e-15,2.0060811500955621e-19
33000000.0,0.0,0.0,0.0,0.0,1.3912901878665964e-09,1.3912901878665964e-09,9.017240261058884e-13,9.999986743278506e-11,9.999986743278506e-11,7.809251798674935e-11,2.561707663151953e-10,4.508620130529442e-11,4.508620130529442e-11,2e-05,1.3912883434719425e-19,4.0655310962830646e-23,2.177649435210603e-28,32999999.999999996,4.1362611360974616e-05,2.2282542596540024e-08,4.1362611360974616e-05,2.0680296010859106e-10,2.4825585228331027e-14,1.9247238209239046e-19,32999999.999999996,4.999755897997012e-06,1.114127129827001e-06,65999999.99999999,2.067936385652291e-15,2.4827251711536935e-19
34000000.0,0.0,0.0,0.0,0.0,1.504003984476597e-09,1.504003984476597e-09,9.96432582061278e-13,9.99994358958532e-11,9.99994358958532e-11,8.629263059244571e-11,2.7253819240866244e-10,4.982162910306391e-11,4.982162910306391e-11,2e-05,1.5039955003277526e-19,4.964389452966529e-23,2.5447814834866645e-28,33999999.99999999,4.474099253084838e-05,2.48329513381751e-08,4.474099253084838e-05,2.2369330085070343e-10,3.083377360820863e-14,2.251975964226109e-19,33999999.99999999,4.999739348573226e-06,1.2416475669087552e-06,67999999.99999999,2.236823234706584e-15,3.0835541001971093e-19
35000000.0,0.0,0.0,0.0,0.0,1.6311102529985035e-09,1.6311102529985035e-09,1.092934676011992e-12,9.999717491735201e-11,9.999717491735201e-11,9.465036593248342e-11,2.886056070256222e-10,5.4646733800599604e-11,5.4646733800599604e-11,2e-05,1.6310641727857766e-19,5.97253103014719e-23,2.9930857396164475e-28,34999999.99999999,4.8550058292358083e-05,2.7739748238066383e-08,4.8550058292358083e-05,2.427367898485993e-10,3.847468161556535e-14,2.651746680215289e-19,34999999.99999999,4.999721903254785e-06,1.3869874119033191e-06,69999999.99999999,2.427238953378749e-15,3.8476379343214344e-19
36000000.0,0.0,0.0,0.0,0.0,1.7828968115773368e-09,1.7828968115773368e-09,1.208262306840603e-12,9.99993300054026e-11,9.99993300054026e-11,1.046394929564966e-10,3.0915866930254443e-10,6.041311534203013e-11,6.041311534203013e-11,2e-05,1.7828848662650222e-19,7.299489010658876e-23,3.5760611708242127e-28,35999999.99999999,5.288286115850606e-05,3.107872761374868e-08,5.288286115850606e-05,2.64398690913159e-10,4.829436550447924e-14,3.146171629848558e-19,35999999.99999999,4.999704727031986e-06,1.5539363806874343e-06,71999999.99999999,2.6438352977995897e-15,4.82962883805184e-19
37000000.0,0.0,0.0,0.0,0.0,1.9482473692965204e-09,1.9482473692965204e-09,1.3435708655785445e-12,9.999709017652319e-11,9.999709017652319e-11,1.163562091907367e-10,3.326839194430825e-10,6.717854327892723e-11,6.717854327892723e-11,2e-05,1.9481906787371822e-19,9.025913354157397e-23,4.270126288467164e-28,36999999.99999999,5.786108446306256e-05,3.4949029020252124e-08,5.786108446306256e-05,2.8928729415364745e-10,6.107173147292126e-14,3.766393232146867e-19,36999999.99999999,4.999686695093367e-06,1.7474514510126064e-06,73999999.99999999,2.892694263815774e-15,6.107366856227594e-19
38000000.0,0.0,0.0,0.0,0.0,2.139115347230607e-09,2.139115347230607e-09,1.5019998313119375e-12,9.999980259798892e-11,9.999980259798892e-11,1.3007815914538646e-10,3.6009240613884625e-10,7.50999915655969e-11,7.50999915655969e-11,2e-05,2.1391111245738921e-19,1.1280017466305447e-22,5.147791277352209e-28,37999999.99999999,6.364693292493031e-05,3.948289249434068e-08,6.364693292493031e-05,3.1821354440082e-10,7.794493998598317e-14,4.5572985795944e-19,37999999.99999999,4.9996681658822985e-06,1.9741446247170337e-06,75999999.99999999,3.1819240345355403e-15,7.794680726712828e-19
39000000.0,0.0,0.0,0.0,0.0,2.3760954405589417e-09,2.3760954405589417e-09,1.6743086191437499e-12,9.99999053862199e-11,9.99999053862199e-11,1.4500028693325604e-10,3.8962802935873096e-10,8.37154309571875e-11,8.37154309571875e-11,2e-05,2.3760931924452267e-19,1.4016546760695253e-22,6.351558235475615e-28,38999999.99999999,7.046158476851477e-05,4.486069394819811e-08,7.046158476851477e-05,3.5228320209105193e-10,1.006240930756949e-13,5.585439294101916e-19,38999999.99999999,4.999649145678413e-06,2.243034697409905e-06,77999999.99999999,3.522580232230342e-15,1.0062574320611537e-18
