i1_freq,params_list,phase_avg,ijj_mag,vjj_mag,iin_mag,iloop_mag,iout_mag,vinput_mag,vin_mag,vbase_mag,vcancel_mag,vout_mag,voutput_mag,leff_input,energy_in,energy_out,energy_out_prev,ifreq_fft,iin_fft,iout_fft,iout_prev_fft,energy_in_fft,energy_out_fft,energy_out_prev_fft,vfreq_fft,vin_fft,vout_fft,pfreq_fft,pin_fft,pout_fft
30000000.0,0.0,0.0,0.0,0.0,1.1789256219228152e-09,1.1789256219228152e-09,5.773501231454684e-13,9.999999999531895e-11,9.999999999531895e-11,5.0000005095962145e-11,0.0,2.8867506157273415e-11,2.8867506157273415e-11,2e-05,1.178925621867629e-19,1.6666658234804372e-23,1.5635988247793585e-28,30000000.0,5.8947157134159e-05,2.8867646303088334e-08,5.8947157134159e-05,2.9473721562803415e-10,4.1667050154010484e-14,3.9091132509741363e-19,30000000.0,5.000024258290114e-06,1.443382315154417e-06,30000000.0,5.894616821407897e-15,1.1111021357431123e-23
31000000.0,0.0,0.0,0.0,0.0,1.1408957825433263e-09,1.1408957825433263e-09,5.773501148943597e-13,9.999999998573756e-11,9.999999998573756e-11,5.0000005841919244e-11,0.0,2.8867505744717986e-11,2.8867505744717986e-11,2e-05,1.1408957823806067e-19,1.6666657758426518e-23,1.4643485849532925e-28,31000000.0,5.704511976019427e-05,2.8867906510481225e-08,5.704511976019427e-05,2.852295596558915e-10,4.1667801314894213e-14,3.6609138995117697e-19,31000000.0,5.00006943372083e-06,1.4433953255240613e-06,31000000.0,5.704524460866414e-15,9.557012448947489e-24
32000000.0,0.0,0.0,0.0,0.0,1.1052425902873571e-09,1.1052425902873571e-09,5.773500139058184e-13,9.999998736511436e-11,9.999998736511436e-11,4.999999977835718e-11,0.0,2.8867500695290914e-11,2.8867500695290914e-11,2e-05,1.1052424506412198e-19,1.666665192785243e-23,1.374256331308245e-28,32000000.0,5.526276867178952e-05,2.886774466211929e-08,5.526276867178952e-05,2.763161329420324e-10,4.1667334093865834e-14,3.4357203014306866e-19,32000000.0,5.000041430842859e-06,1.4433872331059644e-06,32000000.0,5.526309494033147e-15,6.294671244387135e-24
33000000.0,0.0,0.0,0.0,0.0,1.0717505999049891e-09,1.0717505999049891e-09,5.773500944393526e-13,9.999999998383789e-11,9.999999998383789e-11,5.0000006776609574e-11,0.0,2.886750472196763e-11,2.886750472196763e-11,2e-05,1.0717505997317716e-19,1.6666656577456467e-23,1.292230516946292e-28,33000000.0,5.358813901246746e-05,2.8867743411569876e-08,5.358813901246746e-05,2.6794291239401666e-10,4.166733048381179e-14,3.230649723171979e-19,33000000.0,5.000041377284605e-06,1.4433871705784935e-06,33000000.0,5.358845507377417e-15,6.3079015522511974e-24
34000000.0,0.0,0.0,0.0,0.0,1.0402285318525869e-09,1.0402285318525869e-09,5.773500830805364e-13,9.999999996474271e-11,9.999999996474271e-11,5.000000702879392e-11,0.0,2.886750415402681e-11,2.886750415402681e-11,2e-05,1.0402285314858306e-19,1.6666655921655107e-23,1.217334823290212e-28,34000000.0,5.2011726498424144e-05,2.8867904280103866e-08,5.2011726498424144e-05,2.600622355029748e-10,4.166779487626196e-14,3.043372155015236e-19,34000000.0,5.000069273048534e-06,1.4433952140051934e-06,34000000.0,5.201183880910177e-15,9.571118124338132e-24
35000000.0,0.0,0.0,0.0,0.0,1.0105077146380019e-09,1.0105077146380019e-09,5.773500687879755e-13,9.999999998725541e-11,9.999999998725541e-11,5.0000007094440095e-11,0.0,2.8867503439398774e-11,2.8867503439398774e-11,2e-05,1.0105077145092168e-19,1.6666655096474e-23,1.1487665715107821e-28,35000000.0,5.052613398123315e-05,2.8867642152754976e-08,5.052613398123315e-05,2.526318820531665e-10,4.1667038172975794e-14,2.8720014919757135e-19,35000000.0,5.0000239904957146e-06,1.4433821076377487e-06,35000000.0,5.052528433460473e-15,1.111101585988914e-23
36000000.0,0.0,0.0,0.0,0.0,9.824380720796303e-10,9.824380720796303e-10,5.773500588532674e-13,9.999999998977224e-11,9.999999998977224e-11,5.0000007879380975e-11,0.0,2.8867502942663374e-11,2.8867502942663374e-11,2e-05,9.82438071979149e-20,1.666665452289357e-23,1.0858326361554836e-28,36000000.0,4.9122185746574455e-05,2.886790221237742e-08,4.9122185746574455e-05,2.4561432590996493e-10,4.166778890716926e-14,2.7146127740860825e-19,36000000.0,5.000069157694045e-06,1.4433951106188711e-06,36000000.0,4.9122291265655015e-15,9.555923566821589e-24
37000000.0,0.0,0.0,0.0,0.0,9.558857031884363e-10,9.558857031884363e-10,5.773500496917009e-13,9.999999997968234e-11,9.999999997968234e-11,5.0000008516366295e-11,0.0,2.886750248458504e-11,2.886750248458504e-11,2e-05,9.558857029942226e-20,1.6666653993950472e-23,1.0279321622550577e-28,37000000.0,4.7794826261986826e-05,2.8867740288694637e-08,4.7794826261986826e-05,2.389760979031771e-10,4.1667321468776185e-14,2.569888594590194e-19,37000000.0,5.0000411465716434e-06,1.4433870144347322e-06,37000000.0,4.779510640652715e-15,6.2936541347437e-24
38000000.0,0.0,0.0,0.0,0.0,9.307308234718117e-10,9.307308234718117e-10,5.773500374541863e-13,9.999999995595888e-11,9.999999995595888e-11,5.0000008960971674e-11,0.0,2.8867501872709317e-11,2.8867501872709317e-11,2e-05,9.307308230619074e-20,1.6666653287417518e-23,9.745423489805814e-29,38000000.0,4.65370673696292e-05,2.8867738845752326e-08,4.65370673696292e-05,2.3268724881302082e-10,4.166731730332789e-14,2.436410969286083e-19,38000000.0,5.000041084773555e-06,1.4433869422876163e-06,38000000.0,4.653733983234585e-15,6.3089193024217814e-24
39000000.0,0.0,0.0,0.0,0.0,9.068659405150481e-10,9.068659405150481e-10,5.773500248960406e-13,9.999999997742646e-11,9.999999997742646e-11,5.000000927797783e-11,0.0,2.8867501244802032e-11,2.8867501244802032e-11,2e-05,9.068659403103365e-20,1.6666652562372937e-23,9.252065633245232e-29,39000000.0,4.5343555729605566e-05,2.8867899638864256e-08,4.5343555729605566e-05,2.2672090609748e-10,4.1667781477976947e-14,2.3130428019793265e-19,39000000.0,5.00006897230272e-06,1.4433949819432126e-06,39000000.0,4.5343651593739975e-15,9.572197529387979e-24
