v1_freq,pin_sum,pout_sum,phase_avg
10000000.0,8.94116315989403e-22,5.160120658900143e-23,-3.141618501174855
11000000.0,8.744851870323997e-22,5.981386635278702e-23,-3.1416187361073233
12000000.0,8.544367899798172e-22,6.829122277099238e-23,-3.141618967535952
13000000.0,8.341627981404401e-22,7.696923300765357e-23,-3.1416192423210676
14000000.0,8.138400440437644e-22,8.578615565407326e-23,-3.141619522881731
15000000.0,7.936306118140078e-22,9.468140022505051e-23,-3.1416198016564962
16000000.0,7.736821741847615e-22,1.0359475697766263e-22,-3.141620115990704
17000000.0,7.54128710764366e-22,1.1246600448742594e-22,-3.1416204747717367
18000000.0,7.350913171673542e-22,1.212348023470378e-22,-3.1416208658660905
19000000.0,7.166789091689867e-22,1.2984085563317004e-22,-3.141621265901634
20000000.0,6.989887773541572e-22,1.382244268266974e-22,-3.1416218007516976
21000000.0,6.821069672942111e-22,1.4632717835688509e-22,-3.1416223455995764
22000000.0,6.661080851136703e-22,1.5409325519288146e-22,-3.1416229870944834
23000000.0,6.510548687203134e-22,1.6147071676326503e-22,-3.141623638001139
24000000.0,6.369972842483952e-22,1.6841304602889932e-22,-3.1416245099502396
25000000.0,6.239713799838669e-22,1.7488090337680657e-22,-3.1416254076824806
26000000.0,6.119981626598192e-22,1.808436002968529e-22,-3.1416264005697903
27000000.0,6.010826641604198e-22,1.8628042784802183e-22,-3.1416275976158192
28000000.0,5.9121361522816825e-22,1.9118156215649643e-22,-3.1416289804416384
29000000.0,5.823639310802693e-22,1.9554831436438552e-22,-3.141630405626643
30000000.0,5.744922427727597e-22,1.9939267864058342e-22,-3.141632048301068
31000000.0,5.6754521636798565e-22,2.0273638359163917e-22,-3.1416339613621327
32000000.0,5.614605904793274e-22,2.0560934893817157e-22,-3.141636087456483
33000000.0,5.561705187600518e-22,2.080478539553494e-22,-3.1416382832156797
34000000.0,5.516048371725917e-22,2.1009258024588819e-22,-3.1416408111289225
35000000.0,5.476935938435752e-22,2.117870111277967e-22,-3.1416435531422584
36000000.0,5.443691821654688e-22,2.131757941437803e-22,-3.141646510131143
37000000.0,5.415675635616991e-22,2.143035648089271e-22,-3.1416497215309143
38000000.0,5.392291067038192e-22,2.1521371174266884e-22,-3.1416532386899823
39000000.0,5.372989031470415e-22,2.1594730310993777e-22,-3.141657022702933
40000000.0,5.357270179403229e-22,2.165418559836675e-22,-3.1416611394142278
41000000.0,5.3446850717547e-22,2.1703021237485427e-22,-3.1416656162567724
42000000.0,5.334832335606437e-22,2.1743967444073545e-22,-3.1416704249853407
43000000.0,5.327354494581555e-22,2.177915875523845e-22,-3.1416755436732813
44000000.0,5.321931649059528e-22,2.181014525846113e-22,-3.14168119688912
45000000.0,5.31827103535889e-22,2.1837972044229763e-22,-3.141687195410043
46000000.0,5.316099304250818e-22,2.1863271314294756e-22,-3.141693883266005
47000000.0,5.315153874454281e-22,2.188637820388983e-22,-3.1417007727851827
48000000.0,5.315179828832421e-22,2.190742548995393e-22,-3.1417086340737828
49000000.0,5.315927487440832e-22,2.1926430933533243e-22,-3.14171688985757
50000000.0,5.317156663310245e-22,2.194334756291407e-22,-3.1417257819025
51000000.0,5.31864199978012e-22,2.195810046802071e-22,-3.141735762120479
52000000.0,5.320178965337183e-22,2.1970617878690786e-22,-3.1417466516750276
53000000.0,5.321591854974784e-22,2.1980840508901256e-22,-3.1417581823769463
54000000.0,5.32274111445453e-22,2.1988723727250777e-22,-3.141771205274221
55000000.0,5.323525966327692e-22,2.1994261046882936e-22,-3.1417856697483235
56000000.0,5.323887881295387e-22,2.1997482286740805e-22,-3.14180152729021
57000000.0,5.323810083214656e-22,2.1998462009931474e-22,-3.14181922742406
58000000.0,5.323313718350536e-22,2.1997334711365665e-22,-3.1418390186104945
59000000.0,5.322453250308303e-22,2.1994294222579554e-22,-3.141861837348704
60000000.0,5.3213082172958885e-22,2.1989611478074703e-22,-3.141887089743117
61000000.0,5.319975729551858e-22,2.1983620667721013e-22,-3.1419165775118922
62000000.0,5.318560970967658e-22,2.197672917806741e-22,-3.1419501026879235
63000000.0,5.317169387329569e-22,2.1969387191384668e-22,-3.141989581111751
64000000.0,5.315898883993358e-22,2.1962080437334733e-22,-3.142035336573031
65000000.0,5.314833592289051e-22,2.195528353755577e-22,-3.1420899478578814
66000000.0,5.314038906183092e-22,2.1949434172799784e-22,-3.1421560641016457
67000000.0,5.313557711161399e-22,2.194489709601628e-22,-3.142236881781081
68000000.0,5.313407181831751e-22,2.194193048915527e-22,-3.142337260598296
69000000.0,5.313575375428223e-22,2.1940664059907956e-22,-3.142464120152195
70000000.0,5.314018104641544e-22,2.194109674823848e-22,-3.142626541727149
71000000.0,5.314664117262458e-22,2.1943100052518013e-22,-3.142831165590724
72000000.0,5.315419753534176e-22,2.194640161740609e-22,-3.1430834899599445
73000000.0,5.316229560009491e-22,2.19506325711257e-22,-3.143365951309424
74000000.0,5.317067846021771e-22,2.195529043928702e-22,-3.1436591173428754
75000000.0,5.31794556319208e-22,2.1959914538949074e-22,-3.1439365489523876
76000000.0,5.318826153041144e-22,2.1964043888255663e-22,-3.1441930306977683
77000000.0,5.319651728529855e-22,2.1967315022552503e-22,-3.1444276304154903
78000000.0,5.320351576030698e-22,2.1969449245343012e-22,-3.1446426755962387
79000000.0,5.320859074150231e-22,2.197025098586238e-22,-3.144840745873855
80000000.0,5.321119918626238e-22,2.1969639713644446e-22,-3.1450231479188395
81000000.0,5.321096684630657e-22,2.1967594701530764e-22,-3.1451918595870945
82000000.0,5.320774186801803e-22,2.1964135409067587e-22,-3.145349406157435
83000000.0,5.320158612611503e-22,2.1959413856836803e-22,-3.145495989930251
84000000.0,5.319279014756719e-22,2.1953578108303483e-22,-3.1456333593421797
85000000.0,5.318182370616568e-22,2.1946859624443735e-22,-3.145762144585975
86000000.0,5.316931320624877e-22,2.1939512427067245e-22,-3.1458832465456603
87000000.0,5.315599852952759e-22,2.1931798206661714e-22,-3.145997838472997
88000000.0,5.314264961042468e-22,2.1924030919846123e-22,-3.146106110708936
89000000.0,5.31300187223995e-22,2.191653302068033e-22,-3.146208153154279
90000000.0,5.3118861770490415e-22,2.1909521067132425e-22,-3.14630562254146
91000000.0,5.310973798448822e-22,2.190331806175656e-22,-3.14639760998283
92000000.0,5.31031480261052e-22,2.189808362794576e-22,-3.146485285846161
93000000.0,5.309940153720493e-22,2.189395794454728e-22,-3.1465690573818925
94000000.0,5.30986009477796e-22,2.189104785306091e-22,-3.1466487833139434
95000000.0,5.310068590838624e-22,2.1889361674716636e-22,-3.1467247224258488
96000000.0,5.310545439849947e-22,2.1888795103799757e-22,-3.1467977064062365
97000000.0,5.311248113670513e-22,2.188925828752483e-22,-3.146867310083881
98000000.0,5.312126985697346e-22,2.189053263435717e-22,-3.1469340989587256
99000000.0,5.313118323658778e-22,2.1892408731730656e-22,-3.146997822617523
100000000.0,5.314160031684457e-22,2.189456257306334e-22,-3.147059396247944
110000000.0,5.316149014224273e-22,2.188429360839114e-22,-3.1475592148578353
120000000.0,5.309127654285568e-22,2.184749094671747e-22,-3.1479140226213804
130000000.0,5.313980013341122e-22,2.1867775247985753e-22,-3.1481772418094573
140000000.0,5.307187808468453e-22,2.1844392103381206e-22,-3.148379103416175
